term,definition,example
Grammar,The system of rules in a language,Subject-verb agreement in English sentences
Babbling stage,Period in language development when infants produce various speech sounds,"A baby making ""ba-ba-ba"" sounds"
One-word stage,Period in language development when children use single words to express complete thoughts,"Saying ""milk"" to mean ""I want milk"""
Two-word stage,Period in language development when children combine two words to express more complex ideas,"Saying ""mommy go"" to mean ""Mommy is leaving"""
Aphasia,Language disorder resulting from brain damage,Difficulty speaking or understanding speech after a stroke
Broca's area,Brain region involved in speech production,N/A (anatomical structure)
Wernicke's area,Brain region involved in language comprehension,N/A (anatomical structure)
Telegraphic speech,Speech consisting of only the most essential words,"Saying ""Want cookie"" instead of ""I want a cookie"""
Linguistic determinism,The idea that language determines thought,N/A (theoretical concept)
"General intelligence ""g""",A theorized general mental capability that influences performance on cognitive tasks,Performing well across various types of intelligence tests
Gambler's Fallacy,"The mistaken belief that if something happens more frequently than normal, it will happen less frequently in the future","Believing a coin is ""due"" for heads after a string of tails"
Cattell-Horn-Carroll Intelligence Theory,A comprehensive model of cognitive abilities,Distinguishing between fluid intelligence and crystallized intelligence
Executive Functioning,Set of cognitive processes that manage other cognitive processes,"Planning, organizing, and completing a complex project"
Divergent thinking,Thought process used to generate creative ideas by exploring many possible solutions,Brainstorming multiple uses for a common object
Convergent Thinking,"Thought process of finding a single, correct solution to a problem",Solving a math equation
Functional Fixedness,Cognitive bias that limits a person to using an object only in the way it is traditionally used,Failing to see a screwdriver as a potential pry bar
Sunk-cost fallacy,The tendency to continue an endeavor due to previously invested resources,Finishing a bad movie because you've already watched half of it
Emotional intelligence,"The ability to perceive, use, understand, and manage emotions",Recognizing and responding appropriately to a friend's distress
Mental age,A measure of a person's cognitive development relative to their peers,A 10-year-old with a mental age of 12 performs like an average 12-year-old
Intelligence quotient (IQ),A score derived from standardized tests designed to measure intelligence,An IQ of 130 indicating above-average cognitive abilities
Achievement test,A test that measures what a person has learned,A final exam in a history course
Aptitude test,A test designed to predict a person's ability to learn a new skill,A test predicting success in learning a new language
Reliability,The consistency of a measure,Test-retest reliability: Getting similar scores on repeated tests
Validity,The extent to which a test measures what it claims to measure,A depression inventory accurately identifying depressed individuals
Content validity,The extent to which a test covers all aspects of the construct it aims to measure,A math test that covers all topics taught in the course
Construct validity,The degree to which a test measures the theoretical construct it's supposed to measure,An intelligence test accurately measuring cognitive abilities
Predictive validity,The extent to which a test predicts future performance,SAT scores predicting college GPA
Crystallized intelligence,Knowledge and skills gained through experience and education,Vocabulary knowledge or historical facts
Fluid intelligence,The ability to reason and solve novel problems,Recognizing patterns or solving abstract puzzles
Stereotype threat,The fear of confirming negative stereotypes about one's social group,Women performing worse on math tests when reminded of gender stereotypes
Implicit Attitude,Unconscious evaluations or feelings towards people or objects,Unconsciously associating certain professions with specific genders
Ethnocentrism,Judging another culture solely by the values and standards of one's own culture,Assuming one's own cultural practices are superior to others
Standardization,The process of administering and scoring a test in a consistent manner,Giving the same instructions and time limits to all test-takers
Stereotype lift,The performance boost experienced when individuals are exposed to negative stereotypes about other groups,Men performing better on math tests when gender stereotypes are emphasized
Fixed vs Growth Mindset,Contrasting beliefs about the nature of intelligence and ability,Fixed: believing intelligence is static; Growth: believing it can be developed
Flynn Effect,The substantial and long-sustained increase in intelligence test scores over time,IQ scores increasing by about 3 points per decade in the 20th century
Split-half reliability,A measure of internal consistency where a test is divided in half and the scores are correlated,Correlating odd-numbered questions with even-numbered questions on a test
Test-retest reliability,The consistency of test scores when the same test is given to the same group on different occasions,Getting similar scores on an IQ test taken a month apart
